filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-4_STN1030_I20190905_R20200109_BECU_IOP-CTD.csv;STN1030;4_STN1030;69.6484;-133.221;2019-09-05 16:23;1;NA;TUKTOYAKTUK A;101.77;0.0604531168953724
Nunataryuk_WP4-4_STN1040_I20190905_R20200109_BECU_IOP-CTD.csv;STN1040;4_STN1040;69.61528;-133.334;2019-09-05 17:40;1;NA;TUKTOYAKTUK A;101.85;0.0651717226216988
Nunataryuk_WP4-4_STN1050_I20190905_R20200109_BECU_IOP-CTD.csv;STN1050;4_STN1050;69.57647;-133.359;2019-09-05 18:41;1;NA;TUKTOYAKTUK A;101.9;0.0681208512006535
Nunataryuk_WP4-4_STN120_I20190829_R20200109_BECU_IOP-CTD.csv;STN120;4_STN120;69.181;-137.8048;2019-08-29 19:21;1;NA;SHINGLE POINT A;101.68;0.0551446854532554
Nunataryuk_WP4-4_STN125_I20190829_R20200109_BECU_IOP-CTD.csv;STN125;4_STN125;69.12931;-137.8043;2019-08-29 20:03;1;NA;SHINGLE POINT A;101.67;0.0545548597374648
Nunataryuk_WP4-4_STN130_I20190829_R20200109_BECU_IOP-CTD.csv;STN130;4_STN130;69.06973;-137.44983;2019-08-29 20:59;1;NA;SHINGLE POINT A;101.66;0.0539650340216742
Nunataryuk_WP4-4_STN135_I20190829_R20200109_BECU_IOP-CTD.csv;STN135;4_STN135;69.03886;-137.39052;2019-08-29 21:27;1;NA;SHINGLE POINT A;101.66;0.0539650340216742
Nunataryuk_WP4-4_STN140alt_2_I20190829_R20200109_BECU_IOP-CTD.csv;STN140alt_2;4_STN140alt_2;69.01881;-137.32701;2019-08-29 21:50;1;NA;SHINGLE POINT A;101.66;0.0539650340216742
Nunataryuk_WP4-4_STN140alt_I20190829_R20200109_BECU_IOP-CTD.csv;STN140alt;4_STN140alt;69.02058;-137.32374;2019-08-29 15:36;1;NA;SHINGLE POINT A;101.69;0.0557345111690459
Nunataryuk_WP4-4_STN150alt_I20190830_R20200109_BECU_IOP-CTD.csv;STN150alt;4_STN150alt;68.98512;-137.0368;2019-08-30 16:25;1;NA;SHINGLE POINT A;101.87;0.06635137405328
Nunataryuk_WP4-4_STN330_I20190829_R20200109_BECU_IOP-CTD.csv;STN330;4_STN330;69.20558;-137.00621;2019-08-29 18:09;1;NA;SHINGLE POINT A;101.68;0.0551446854532554
Nunataryuk_WP4-4_STN340alt_I20190829_R20200109_BECU_IOP-CTD.csv;STN340alt;4_STN340alt;69.15173;-136.85726;2019-08-29 16:56;1;NA;SHINGLE POINT A;101.68;0.0551446854532554
Nunataryuk_WP4-4_STN350_I20190829_R20200109_BECU_IOP-CTD.csv;STN350;4_STN350;69.11001;-136.78836;2019-08-29 16:29;1;NA;SHINGLE POINT A;101.69;0.0557345111690459
Nunataryuk_WP4-4_STN360_I20190830_R20200109_BECU_IOP-CTD.csv;STN360;4_STN360;68.99739;-136.47781;2019-08-30 17:16;1;NA;SHINGLE POINT A;101.88;0.0669411997690714
Nunataryuk_WP4-4_STN370_I20190830_R20200109_BECU_IOP-CTD.csv;STN370;4_STN370;68.95336;-136.25129;2019-08-30 18:46;1;NA;SHINGLE POINT A;101.9;0.0681208512006535
Nunataryuk_WP4-4_STN380alt_I20190830_R20200109_BECU_IOP-CTD.csv;STN380alt;4_STN380alt;68.86289;-135.83269;2019-08-30 19:31;1;NA;SHINGLE POINT A;101.87;0.06635137405328
Nunataryuk_WP4-4_STN740_I20190905_R20200109_BECU_IOP-CTD.csv;STN740;4_STN740;69.40335;-133.85;2019-09-05 22:42;1;NA;TUKTOYAKTUK A;102;0.0740191083585611
Nunataryuk_WP4-4_STN800_I20190905_R20200109_BECU_IOP-CTD.csv;STN800;4_STN800;69.597;-133.442;2019-09-05 18:16;1;NA;TUKTOYAKTUK A;101.85;0.0651717226216988
Nunataryuk_WP4-4_STN810_I20190905_R20200109_BECU_IOP-CTD.csv;STN810;4_STN810;69.53506;-133.415;2019-09-05 19:06;1;NA;TUKTOYAKTUK A;101.9;0.0681208512006535
Nunataryuk_WP4-4_STN820_I20190905_R20200109_BECU_IOP-CTD.csv;STN820;4_STN820;69.48663;-133.542;2019-09-05 20:12;1;NA;TUKTOYAKTUK A;101.94;0.0704801540638167
Nunataryuk_WP4-4_STN830_I20190905_R20200109_BECU_IOP-CTD.csv;STN830;4_STN830;69.43236;-133.656;2019-09-05 20:39;1;NA;TUKTOYAKTUK A;101.96;0.0716598054953979
Nunataryuk_WP4-4_STN840_2_I20190906_R20200109_BECU_IOP-CTD.csv;STN840_2;4_STN840_2;69.39853;-133.81;2019-09-06 16:17;1;NA;TUKTOYAKTUK A;102.06;0.0775580626533055
Nunataryuk_WP4-4_STN840_I20190905_R20200109_BECU_IOP-CTD.csv;STN840;4_STN840;69.39854;-133.809;2019-09-05 21:46;1;NA;TUKTOYAKTUK A;101.98;0.072839456926979
Nunataryuk_WP4-4_STN850_I20190906_R20200109_BECU_IOP-CTD.csv;STN850;4_STN850;69.36811;-133.894;2019-09-06 15:49;1;NA;TUKTOYAKTUK A;102.06;0.0775580626533055
