"Profile_ID";"filename";"station_name";"lat_dec_deg";"lon_dec_deg";"date_heure_UTC";"date_heure_MDT";"flag_qc";"EC_Press_dbar_val";"tare_depth";"comment";"closest_EC_sector"
89;"Nunataryuk_WP4-2_st310_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st310";69.38691;-137.79284;"2019-06-19 18:05:00";"2019-06-19 12:05:00";1;101.44;0.0409888682742778;NA;"SHINGLE POINT A"
90;"Nunataryuk_WP4-2_st320_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st320";69.29561;-137.39893;"2019-06-19 17:43:00";"2019-06-19 11:43:00";1;101.44;0.0409888682742778;NA;"SHINGLE POINT A"
91;"Nunataryuk_WP4-2_st330_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st330";69.20589;-137.01479;"2019-06-19 17:17:00";"2019-06-19 11:17:00";1;101.38;0.0374499139795317;NA;"SHINGLE POINT A"
92;"Nunataryuk_WP4-2_st340-alt_I20190621_R20200109_BECU_IOP-CTD-d01.csv";"st340-alt";69.15125;-136.85497;"2019-06-21 19:11:00";"2019-06-21 13:11:00";1;101.02;0.0162161882110636;NA;"SHINGLE POINT A"
93;"Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d01.csv";"st350";69.11314;-136.79714;"2019-06-19 16:05:00";"2019-06-19 10:05:00";1;101.36;0.0362702625479505;NA;"SHINGLE POINT A"
94;"Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d02.csv";"st350";69.11314;-136.79714;"2019-06-19 16:05:00";"2019-06-19 10:05:00";1;101.36;0.0362702625479505;NA;"SHINGLE POINT A"
95;"Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD-d03.csv";"st350";69.11314;-136.79714;"2019-06-19 16:05:00";"2019-06-19 10:05:00";1;101.36;0.0362702625479505;NA;"SHINGLE POINT A"
96;"Nunataryuk_WP4-2_st360_I20190618_R20200109_BECU_IOP-CTD-d02.csv";"st360";68.99738;-136.48601;"2019-06-18 19:43:00";"2019-06-18 13:43:00";1;101.15;0.0238839225163439;NA;"SHINGLE POINT A"
97;"Nunataryuk_WP4-2_st360_I20190618_R20200109_BECU_IOP-CTD-d03.csv";"st360";68.99738;-136.48601;"2019-06-18 19:43:00";"2019-06-18 13:43:00";1;101.15;0.0238839225163439;NA;"SHINGLE POINT A"
98;"Nunataryuk_WP4-2_st370_I20190618_R20200109_BECU_IOP-CTD-d01.csv";"st370";68.95295;-136.25716;"2019-06-18 20:03:00";"2019-06-18 14:03:00";1;101.15;0.0238839225163439;NA;"SHINGLE POINT A"
