filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-3_st1050_I20190802_R20200109_BECU_IOP-CTD-d01.csv;13;loess;0.07;08.0;09.5;27.0;28.0;1
Nunataryuk_WP4-3_st1060_I20190802_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;11.0;14.5;12.0;21.0;1
Nunataryuk_WP4-3_st125_I20190728_R20200109_BECU_IOP-CTD-d01.csv;15;loess;0.07;0.0;10.0;20.0;35.0;1
Nunataryuk_WP4-3_st130_I20190728_R20200109_BECU_IOP-CTD-d01.csv;15;loess;0.07;0.0;10.0;20.0;35.0;1
Nunataryuk_WP4-3_st135_I20190728_R20200109_BECU_IOP-CTD-d01.csv;13;loess;0.055;2.0;10.0;20.0;32.0;1
Nunataryuk_WP4-3_st140-alt_I20190726_R20200109_BECU_IOP-CTD-d01.csv;13;loess;0.055;4.0;12.0;18.0;25.0;1
Nunataryuk_WP4-3_st140-alt_I20190726_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;4.0;12.0;18.0;25.0;0
Nunataryuk_WP4-3_st150-alt_I20190726_R20200109_BECU_IOP-CTD-d01.csv;9;loess;0.10;8.0;15.0;0.00;25.0;1
Nunataryuk_WP4-3_st150-alt_I20190726_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;8.0;15.0;0.00;25.0;0
Nunataryuk_WP4-3_st330_I20190728_R20200109_BECU_IOP-CTD-d01.csv;5;loess;0.07;9.5;12.5;14.0;20.0;1
Nunataryuk_WP4-3_st340-alt_I20190728_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.15;7.5;11.0;15.0;22.0;1
Nunataryuk_WP4-3_st350_I20190728_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.15;10.0;15.0;2.0;18.0;1
Nunataryuk_WP4-3_st350_I20190728_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;-2.0;15.0;-0.05;35;0
Nunataryuk_WP4-3_st360_I20190726_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;14.0;15.0;0.10;0.20;1
Nunataryuk_WP4-3_st360_I20190726_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;-2.0;15.0;-0.05;35;0
Nunataryuk_WP4-3_st370-alt_I20190726_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;14.0;15.0;0.00;0.25;1
Nunataryuk_WP4-3_st370-alt_I20190726_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;-2.0;15.0;-0.05;35;0
Nunataryuk_WP4-3_st380_I20190726_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;15.5;16.5;0.00;0.25;1
